_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
645469458723e138c4628dd1,,54,91.14,61.6,69.02,135;4;1;8,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683253573000
645469248723e138c4628ccd,,57.98,95.45,59.98,73.04,145;2;0;0,time,30,-1,1,30.01,0,4.27,false,false,english,none,normal,false,false,false,,1683253540000
645468fb8723e138c4628b63,,53.98,93.42,60.78,76.68,135;5;1;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683253499000
645468db8723e138c4628a3b,,59.58,98.1,62.78,74.56,149;1;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683253467000
645468618723e138c462865f,,56.4,95.92,56.8,64.14,141;1;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683253345000
645468408723e138c4628546,,52.78,95.36,58.38,69.45,132;1;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683253312000
645465db8723e138c45c4449,,45.18,90.44,51.58,60.26,113;4;2;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683252699000
64543e9a8723e138c4173411,,44.8,83.45,57.2,71.69,112;16;1;4,time,30,-1,1,30,0,3.47,false,false,english,none,normal,false,false,false,,1683242650000
645436418723e138c40aa365,,43.2,83.33,53.6,60.89,108;12;2;3,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683240513000
6454361f8723e138c40aa2a0,,44.8,84.87,58.8,65.85,112;11;2;2,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683240479000
645435fd8723e138c40aa1e5,,47.58,88.16,59.98,69.03,119;9;1;3,time,30,-1,2,30.01,0,1.72,false,false,english,none,normal,false,false,false,,1683240445000
6453a5028723e138c40033c5,,53.6,88.82,68,76.62,134;12;2;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683203330000
6453a3578723e138c400225a,,45.18,86.47,47.98,48.79,113;5;0;1,time,30,-1,0,30.01,1,0,false,false,english,none,normal,false,false,false,,1683202903000
6453a3198723e138c4001fdb,,66.38,95.53,71.58,68.06,166;6;0;1,time,30,-1,3,30.01,0,7.08,false,false,english,none,normal,false,false,false,,1683202841000
6453a1058723e138c4f9db9e,,58.8,92.5,61.2,62.72,147;3;1;0,time,30,-1,3,30,0,0.76,false,false,english,none,normal,false,false,false,,1683202309000
6453a0c58723e138c4f9d8d1,true,70.38,97.83,72.78,80.37,176;0;0;2,time,30,-1,1,30.01,0,1.56,false,false,english,none,normal,false,false,false,,1683202245000
645269438723e138c4cf842d,,45.8,100,45.8,50.4,149;0;0;0,zen,zen,-1,0,39.04,1,0,false,false,english,none,normal,false,false,false,,1683122499000
645269158723e138c4cf81ce,true,60.41,100,60.41,45.95,372;0;0;0,zen,zen,-1,0,73.9,1,0,false,false,english,none,normal,false,false,false,,1683122453000
